@relation movies

@Attribute Director string
@Attribute Actor string
@Attribute Writer string
@Attribute Genre string
@Attribute Success string

@Data
'Greg Durbin','Maria Elena Jordá Langfeldt','Greg Durbin','Comedy','Yes'
'Drew Maxwell','Tara Ketterer','Drew Maxwell','Horror','No'
'Ernie Clark','Vince Poletto','David Farrell','Comedy','No'
'John Carpenter','Jeff Bridges','Bruce A. Evans','Adventure','Yes'
'Dorian Ramírez','Tom Breeding','Dorian Ramírez','Drama','Yes'
'Paul Schrader','George C. Scott','Paul Schrader','Drama','Yes'
'Lee Daniels','Forest Whitaker','Danny Strong','Biography','Yes'
'Clint Eastwood','Clint Eastwood','Harry Julian Fink','Action','Yes'
'Bruce McDonald','Luke Bilyk','Pascal Trottier','Horror','Yes'
'Dmitriy Khmelyov','Sergey A.','Dmitriy Khmelyov','Horror','Yes'
'Jeethu Joseph','Mohanlal','Jeethu Joseph','Drama','Yes'
'Tony Ayres','Vince Colosimo','Roger Monk','Drama','Yes'
'Reginald Barker','Ralph Bellamy','John F. Goodrich','Drama','Yes'
'Jim Wynorski','Eric Roberts','Frances Doel','Horror','No'
'Will Canon','Maria Bello','Max La Bella','Horror','Yes'
'Ludi Boeken','Stephen Moyer','Michael A. Lerner','Action','Yes'
'Alain Berbérian','Gérard Lanvin','Matt Alexander','Adventure','Yes'
'Ejaz Gulab','Vikram Gokhale','Nilesh Girkar','Action','Yes'
'Dariush Mehrjui','Saeed Kangarani','Dariush Mehrjui','Drama','Yes'
'Nick Hamm','Thora Birch','Guy Burt','Drama','Yes'
'Q. Allan Brocka','Rebekah Kochan','Q. Allan Brocka','Comedy','Yes'
'Junaid Ahmed','Presley Chweneyagae','Tom Eaton','Drama','Yes'
'Diane Crespo','Zoe Lister Jones','Stefan C. Schaefer','Comedy','Yes'
'Richard Eyre','Laura Linney','Richard Eyre','Drama','Yes'
'Dominique Abel','Dominique Abel','Dominique Abel','Comedy','Yes'
'Mario Cavalli','Anton Blake','Richard Deakin','Short','Yes'
'Eric Leiser','Ed K. Gildersleeve','Eric Leiser','Fantasy','No'
'Stan Winston','Michael Jackson','Stan Winston','Short','Yes'
'Burr Steers','Zac Efron','Jason Filardi','Comedy','Yes'
'Joseph F. Robertson','Becky Savage','Joseph F. Robertson','Adult','Yes'
'Mike Barker','Pierce Brosnan','William Morrissey','Crime','Yes'
'Richard Poche','Leesel Boulware','Daniel Chant','Horror','No'
'William Rotsler','Susan Stewart','Sanford White','Thriller','Yes'
'Walter Hill','Charles Bronson','Walter Hill','Drama','Yes'
'Håkan Lindhé','Shanti Roney','Håkan Lindhé','Short','Yes'
'Rainer Matsutani','Christoph M. Ohrt','Rainer Matsutani','Comedy','Yes'
'Andrew Adamson','Georgie Henley','Ann Peacock','Adventure','Yes'
'Katharine Leis','Barton Anderson','Katharine Leis','Drama','Yes'
'R.D. Braunstein','Lauren Holly','Naomi L. Selfman','Crime','No'
'Yann Arthus-Bertrand','Yann Arthus-Bertrand','Isabelle Delannoy','Documentary','Yes'
'Sebastien Guy','Kate Isaac','Sebastien Guy','Short','Yes'
'Jay Roach','Mike Myers','Mike Myers','Comedy','Yes'
'Jafar Panahi','Nargess Mamizadeh','Kambuzia Partovi','Drama','Yes'
'Peter de Baan','Tamar van den Dop','Ger Beukenkamp','Drama','Yes'
'Mick Jackson','Karen Meagher','Barry Hines','Drama','Yes'
'Amariah Olson','David Chisum','Jupiter Makins','Thriller','Yes'
'Jonathan Kaplan','Madeleine Stowe','Albert S. Ruddy','Western','Yes'
'Joseph Losey','Julie Christie','Harold Pinter','Drama','Yes'
'Nasir Hussain','Asha Parekh','Sachin Bhowmick','Comedy','Yes'
'Mark Savage','Zero Montana','Mark Savage','Horror','No'
'Irving Rapper','Dean Jones','Walter Bloch','Biography','Yes'
'Mike Testin','Art Roberts','Mike Testin','Short','Yes'
'David Marconi','Frank Grillo','David Marconi','Romance','Yes'
'Robert Hloz','Heejin Jung','Matias Caruso','Short','Yes'
'Bernard Launois','Jacques Balutin','Bernard Launois','Comedy','No'
'Johannes Pinter','Conny Anderson','Johannes Pinter','Short','No'
'Chris Sparling','William Mapother','Chris Sparling','Drama','Yes'
'Riri Riza','Rendy Ahmad','Salman Aristo','Drama','Yes'
'Victor Schertzinger','Clive Brook','Richard Washburn Child','Drama','Yes'
'Eddie Muller','Leah Dashe','Eddie Muller','Short','Yes'
'Stan Feingold','Lincoln Clarkes','Susan Musgrave','Documentary','Yes'
'Junji Sakamoto','Arisa Mizuki','Rieko Saibara','Comedy','Yes'
'Robert Mulligan','Sally Field','Bruno Barreto','Comedy','Yes'
'Victor Fleming','Jean Harlow','John Lee Mahin','Comedy','Yes'
'Stephen Norrington','Sean Connery','Alan Moore','Action','Yes'
'Toby Genkel','Bertram Hiese','Rolf Dieckmann','Animation','No'
'Pau Masó','Irene González','Pau Masó','Short','Yes'
'Willi Forst','Pola Negri','Willi Forst','Drama','Yes'
'James C. Strouse','Stephanie Allynne','James C. Strouse','Comedy','Yes'
'Jamie Blanks','Denise Richards','Tom Savage','Horror','No'
'Cesc Gay','Eduard Fernández','Tomàs Aragay','Drama','Yes'
'Philippos Halatsis','Zoe Alexouli','Philippos Halatsis','Horror','No'
'Andrew Davis','Steven Seagal','Andrew Davis','Action','Yes'
'Jack Smight','Sandra Dee','Oscar Brodney','Comedy','Yes'
'Anurag Basu','Mallika Sherawat','Anurag Basu','Drama','Yes'
'Ben Rock','Rich Williams','Jonathan Mangum','Comedy','Yes'
'François Villiers','Michèle Morgan','Jean-Pierre Ferrière','Crime','Yes'
'Albert Shin','Ji-hye Ahn','Pearl Ball-Harding','Drama','Yes'
'Michael Bafaro','Laura Mennell','Michael Bafaro','Horror','No'
'Bryan Goeres','Timothy Hutton','Jay Beattie','Crime','No'
'Filip Renc','Zuzana Norisová','Filip Renc','Musical','Yes'
'Yasujirô Ozu','Keiji Sada','Kôgo Noda','Comedy','Yes'
'Michael Robison','David Keith','Malcolm Barbour','Drama','No'
'Edmund Goulding','Paul Douglas','James M. Cain','Comedy','Yes'
'Ash Brannon','Shia LaBeouf','Don Rhymer','Animation','Yes'
'Ky Dickens','Terri Abbott','Ky Dickens','Documentary','Yes'
'Yoshinori Kawano','Terence J. Rotolo','Makoto Ikehara','Action','Yes'
'John Stockwell','David Neidorf','Scott Fields','Action','No'
'Luke Tedder','Claudia Granger','Luke Tedder','Short','Yes'
'Pete Walker','Lynne Frederick','David McGillivray','Drama','Yes'
'Alexandre Franchi','Ricky Mabe','Alexandre Franchi','Drama','Yes'
'Jacques Maillot','Marie Payen','Jacques Maillot','Drama','Yes'
'Sudz Sutherland','Tatyana Ali','Jennifer Holness','Drama','Yes'
'Victor Bonacore','Michael Caputo','Victor Bonacore','Short','No'
'David Leeds','Margot Kidder','David Leeds','Western','No'
'Alex Ross Perry','Katherine Waterston','Alex Ross Perry','Drama','Yes'
'Harjit Singh','Sudhanshu Aggarwal','Tejinder Harjit','Biography','Yes'
'Joseph Sargent','Christine Lahti','Gisella Perl','Drama','Yes'
'Kimble Rendall','Molly Ringwald','Mark Lamprell','Comedy','No'
'Jamsheed Akrami','Sara Nodjoumi','Jamsheed Akrami','Documentary','Yes'
'Henri Safran','Greg Rowe','Sonia Borg','Drama','Yes'
'Bernadette Chapman','Corey Merrida','Bernadette Chapman','Drama','Yes'
'Bryan Roy','Ron Sparks','Ron Sparks','Short','Yes'
'Fabien Onteniente','Florent Pagny','Jean-Luc Gaget','Comedy','Yes'
'Mel Brooks','Gene Wilder','Gene Wilder','Comedy','Yes'
'Kathrin Feistl','Cornelia Gröschel','Kathrin Feistl','Comedy','Yes'
'Mark LaFleur','Nicole Sienna','Andrew Caldwell','Comedy','No'
'Roland Joffé','Demi Moore','Nathaniel Hawthorne','Drama','Yes'
'Irene von Alberti','Sabrina Ouazani','Irene von Alberti','Drama','Yes'
'Michael Hoffman','Robert Downey Jr.','Rose Tremain','Biography','Yes'
'Marcello Macchia','Marcello Macchia','Marcello Macchia','Comedy','Yes'
'David Steinberg','Kristina Anapau','Dane Cook','Comedy','No'
'Glenn Forbes','Chris Allen','Glenn Forbes','Short','Yes'
'Eytan Fox','Ohad Knoller','Gal Uchovsky','Comedy','Yes'
'Varka Kozlovic','Enkhjargal Sodnomdorj','Temuujin Dashdorj','Documentary','Yes'
'David J. Burke','Morgan Freeman','David J. Burke','Crime','Yes'
'Lawrence David Foldes','Lisa Brenner','Lawrence David Foldes','Drama','Yes'
'Susan Seidelman','Jennifer Aspen','Lisa Melamed','Comedy','Yes'
'Dave Padilla','Dan Selon','Jeremy Huntington','Comedy','No'
'Lyubo Yonchev','Victor Andreev','Stephen King','Short','Yes'
'Philippe Fernandez','Jackie Berroyer','Philippe Fernandez','Comedy','Yes'
'Steve Lewis','Amerjit Deu','Noel Clarke','Short','Yes'
'Krisztina Goda','Judit Schell','Réka Divinyi','Comedy','Yes'
'Joseph Wang','Sonia Sui','Hai-wei Yang','Drama','Yes'
'Steve Boyum','Richard Thomas','Donald Martin','Drama','Yes'
'John Berry','Joan Fontaine','Hugo Butler','Drama','Yes'
'James Gunn','Chris Pratt','James Gunn','Action','Yes'
'Rainer Werner Fassbinder','Brigitte Mira','Rainer Werner Fassbinder','Drama','Yes'
'Dave Schram','Abbey Hoes','Carry Slee','Drama','Yes'
'Dana Mennie','Max Ryan','Dana Mennie','Crime','No'
'Adam Massey','Miranda Cosgrove','Jason Juravic','Thriller','Yes'
'Dan Riesser','Thad Bateman','Andrew Genser','Comedy','Yes'
'Haile Gerima','Kasu Asfaw','Haile Gerima','Drama','Yes'
'Munsur Ali','Anupam Kher','Munsur Ali','Action','Yes'

